Country,Num_games_s,Gold_s,Silver_s,Bronze_s,Total_s,Num_games_w,Gold_w,Silver_w,Bronze_w,Total_w,Num_games_t,Gold_t,Silver_t,Bronze_t,Total_t
Afghanistan,14.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,2.0
Algeria,13.0,5.0,4.0,8.0,17.0,3.0,0.0,0.0,0.0,0.0,16.0,5.0,4.0,8.0,17.0
Argentina,24.0,21.0,25.0,28.0,74.0,19.0,0.0,0.0,0.0,0.0,43.0,21.0,25.0,28.0,74.0
Armenia,6.0,2.0,6.0,6.0,14.0,7.0,0.0,0.0,0.0,0.0,13.0,2.0,6.0,6.0,14.0
Australasia,2.0,3.0,4.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,12.0
Australia,26.0,147.0,163.0,187.0,497.0,19.0,5.0,5.0,5.0,15.0,45.0,152.0,168.0,192.0,512.0
Austria,27.0,18.0,33.0,36.0,87.0,23.0,64.0,81.0,87.0,232.0,50.0,82.0,114.0,123.0,319.0
Azerbaijan,6.0,7.0,11.0,25.0,43.0,6.0,0.0,0.0,0.0,0.0,12.0,7.0,11.0,25.0,43.0
Bahamas,16.0,6.0,2.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,2.0,6.0,14.0
Bahrain,9.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,3.0
Barbados,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,1.0
Belarus,6.0,12.0,27.0,39.0,78.0,7.0,8.0,5.0,5.0,18.0,13.0,20.0,32.0,44.0,96.0
Belgium,26.0,40.0,53.0,55.0,148.0,21.0,1.0,2.0,3.0,6.0,47.0,41.0,55.0,58.0,154.0
Bermuda,18.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,1.0
Bohemia,3.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,4.0
Botswana,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0
Brazil,22.0,30.0,36.0,62.0,128.0,8.0,0.0,0.0,0.0,0.0,30.0,30.0,36.0,62.0,128.0
British West Indies,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
Bulgaria,20.0,51.0,87.0,80.0,218.0,20.0,1.0,2.0,3.0,6.0,40.0,52.0,89.0,83.0,224.0
Burundi,6.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,2.0
Cameroon,14.0,3.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,15.0,3.0,1.0,2.0,6.0
Canada,26.0,64.0,102.0,136.0,302.0,23.0,73.0,64.0,62.0,199.0,49.0,137.0,166.0,198.0,501.0
Chile,23.0,2.0,7.0,4.0,13.0,17.0,0.0,0.0,0.0,0.0,40.0,2.0,7.0,4.0,13.0
China,10.0,224.0,167.0,155.0,546.0,11.0,13.0,28.0,21.0,62.0,21.0,237.0,195.0,176.0,608.0
Colombia,19.0,5.0,9.0,14.0,28.0,2.0,0.0,0.0,0.0,0.0,21.0,5.0,9.0,14.0,28.0
Costa Rica,15.0,1.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,2.0,4.0
Ivory Coast,13.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,3.0
Croatia,7.0,11.0,10.0,12.0,33.0,8.0,4.0,6.0,1.0,11.0,15.0,15.0,16.0,13.0,44.0
Cuba,20.0,78.0,68.0,79.0,225.0,0.0,0.0,0.0,0.0,0.0,20.0,78.0,68.0,79.0,225.0
Cyprus,10.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,1.0
Czech Republic,6.0,15.0,17.0,24.0,56.0,7.0,9.0,11.0,11.0,31.0,13.0,24.0,28.0,35.0,87.0
Czechoslovakia,16.0,49.0,49.0,45.0,143.0,16.0,2.0,8.0,15.0,25.0,32.0,51.0,57.0,60.0,168.0
Denmark,27.0,45.0,74.0,75.0,194.0,14.0,0.0,1.0,0.0,1.0,41.0,45.0,75.0,75.0,195.0
Djibouti,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0
Dominican Republic,14.0,3.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,2.0,2.0,7.0
Ecuador,14.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,2.0
Egypt,22.0,7.0,10.0,15.0,32.0,1.0,0.0,0.0,0.0,0.0,23.0,7.0,10.0,15.0,32.0
Eritrea,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0
Estonia,12.0,9.0,9.0,16.0,34.0,10.0,4.0,2.0,1.0,7.0,22.0,13.0,11.0,17.0,41.0
Ethiopia,13.0,22.0,11.0,20.0,53.0,2.0,0.0,0.0,0.0,0.0,15.0,22.0,11.0,20.0,53.0
Fiji,14.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,1.0
Finland,25.0,101.0,85.0,117.0,303.0,23.0,43.0,63.0,61.0,167.0,48.0,144.0,148.0,178.0,470.0
France,28.0,212.0,241.0,263.0,716.0,23.0,36.0,35.0,53.0,124.0,51.0,248.0,276.0,316.0,840.0
Gabon,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0
